"Prefix","Number","Title","Hours","Description","Unk","Taught"
"PHIL","2317","History of Philosophy II","3","Intensive study of texts significant in the history of philosophy from the early modern period to the present.","3-0","T"
"PHIL","2V71","Independent Study in Philosophy","1-3","Independent study under a faculty member's direction. May be repeated for credit (9 hours maximum). Prerequisite: Permission of the instructor.","[1-3]-0","R"
"PHIL","3304","Conceptions of Human Nature","3","Emphasis on contemporary conceptions of human nature and the human condition, stressing the cultural and historical settings. Prerequisite: PHIL 1301, PHIL 2316, PHIL 2317 or equivalent.","3-0","R"
"PHIL","3373","Philosophy of Mind","3","An examination of the historical roots of the mind/body problem and efforts to resolve it. May also examine the nature of consciousness, the problem of other minds, the nature of sensation and personhood, and the emotions. Prerequisite: PHIL 1301, PHIL 2316, PHIL 2317 or equivalent.","3-0","R"
"PHIL","3375","Ethics in Contemporary America","3","An examination of various ethical problems which have been a part of 20th-century American consciousness, against the backdrop of social and political events. Issues may include abortion, capital punishment, sexual morality, world hunger, and war. Prerequisite: PHIL 1301, PHIL 2316, PHIL 2317 or equivalent.","3-0","T"
"PHIL","3392","Reason, Reasoning, and Logic","3","An examination of the nature of rationality and a discussion of some of the various types of reasoning systems. Techniques designed to improve skills in presenting and evaluating arguments. Prerequisite: PHIL 1301, PHIL 2316, PHIL 2317 or equivalent.","3-0","R"
"PHIL","4305","Ideas and Their History","3","A study of the origin, continuity, and diffusion of major philosophical ideas, viewed primarily in historical context. May be repeated for credit as topics vary (9 hours maximum). Prerequisite: Upper-division standing or permission of the instructor.","3-0","T"
"PHIL","4308","Theories of Knowledge","3","A study of central topics in the theory of knowledge, including skepticism and the limits of knowledge, relativism and objectivity, and the role of perception, memory, introspection and reason as sources of knowledge. Prerequisite: PHIL 1301, PHIL 2316, PHIL 2317 or permission of the instructor.","3-0","R"
"PHIL","4310","Philosophy of Technology","3","An examination of the nature of technology and its role in personal life and society.  Focus on the conceptualization of technology, the relation of science to technology, the impact of technology on science and ethics, and the influence of technology on culture.  Prerequisite: PHIL 1301, PHIL 2316, PHIL2317 or permission of the instructor.","3-0","Y"
"PHIL","4380","Topics in Philosophy","3","Subject matter will vary from semester to semester. May be repeated for credit as topics vary (6 hours maximum). Prerequisite: Upper-division standing or permission of the instructor.","3-0","R"
"PHIL","4V71","Independent Study in Philosophy","1-3","Independent study under a faculty member's direction. May be repeated for credit (9 hours maximum). Prerequisite: Permission of the instructor.","[1-3]-0","R"
"RHET","1101","Oral Communication/Critical Thinking","1","This class uses small group assignments and discussions to focus on the most important aspects of adapting to college. Students take part in discussions and demonstrations related to personal management, motivation, academic skills, and work habits, communication skills, and social relationships. Specific exercises are designed to promote critical thinking and creative planning. Topics may vary.","1-1","S"
"RHET","1302","Rhetoric","3","The course presents an integrated approach to writing, reading, and critical thinking by developing the grammatical, logical, and rhetorical skills necessary for university writing. All classes work in a computerized learning environment.","3-0","S"
"RHET","4074","Student Leadership","0","This is the required course for all students selected to participate in the First Year Leader Program, in which students team-teach the RHET 1101 Oral Communication and Critical Thinking course. (May be repeated up to three times.)","2-0","S"
"SPAN","1311","Beginning Spanish I","3"," This course will integrate acquisition of the four language skills (listening, speaking, reading, and writing) with the study of Spanish culture and civilization.","3-0","Y"
"SPAN","1312","Beginning Spanish II","3","This course is a continuation of Beginning Spanish I.  It will integrate acquisition of the four language skills (listening, speaking, reading, and writing) with study of Spanish culture and civilization. Prerequisite: SPAN 1311 or permission of instructor.","3-0","Y"
"SPAN","2311","Intermediate Spanish I","3","This course is a continuation of Beginning Spanish II.  It will include review and application of skills in listening comprehension, speaking, reading, and writing.  The course emphasizes conversation, vocabulary acquisition, reading, composition, and culture.  Prerequisite: SPAN 1312 or permission of instructor. ","3-0","Y"
"SPAN","2312","Intermediate Spanish II","3","This course is a continuation of Intermediate Spanish I. It will include review and application of skills in listening comprehension, speaking, reading, and writing.  The course focuses on conversation, vocabulary acquisition, reading, and composition.  A major course component will be an emphasis on Spanish culture. Prerequisite: SPAN 2311or permission of instructor.","3-0","Y"
"SPAN","3341","Medical Spanish","3","This course is designed to introduce students to the utilization of the Spanish language in the Health Care arena. A combination of written and oral exercises will be employed in a workshop atmosphere. Prerequisite: Introductory Spanish or the equivalent.","4-0","Y"
"SPAN","3363","Spanish Composition and Style","3","Designed to offer students the opportunity to perfect linguistic skills and to comprehend selected works of Peninsular and Spanish-American writers. Prerequisite: SPAN 2312 or the equivalent, or permission of the instructor.","3-0","R"
"SPAN","3365","Advanced Spanish","3","The course is designed to help students build continuous vocabulary, increase the understanding of the Hispanic culture, and augment speaking fluency. The course will cover reading comprehension, discussion of literature, composition, and conversation Prerequisite: SPAN 2312 or equivalent or permission of instructor.","3-0","Y"
"SPAN","4364","Advanced Spanish Culture","3","This course will provide students with a basic knowledge of and appreciation for the Spanish language, culture and civilization as found in Spain, Latin America, and the Hispanic communities in the U.S.A. The traditional elements and new trends of the culture as revealed in the arts, music, film and literature will be covered. Classes will be conducted in Spanish with occasional use of English for clarification of difficult concepts only. Prerequisite: SPAN 3364 or equivalent or permission of instructor.","3-0","R"
"ARHM","1100","Freshman Seminar","1","This course is a graduation requirement for all freshmen in the School of Arts and Humanities (A&H).  Incoming freshmen will learn about the intellectual and cultural environment in the School of Arts and Humanities through lectures, group projects, activities, guest panels, and attendance at artistic and cultural events.  Students will also learn about A&H majors (Art and Performance, Arts and Technology, Emerging Media and Communication, Historical Studies, and Literary Studies), research opportunities, careers, and internships.  This course is open to all non-A&H majors.","","S"
